sampleid,sample_type,col_start_dt,lab_sf_weight,ec_denom,count1,count2,dil1,dil2,count3,dil3,ec_conc,renuka_ec,log_ec,log_renuka_ec
PL1001,11,2019/05/01 06:57:57,NA,100,998,998,0.001,1e-4,NA,NA,200000000,NA,8.301029995663981,NA
PL1002,11,2019/05/15 06:41:37,NA,100,3,1,0.001,1e-4,NA,NA,650000,NA,5.812913356642856,NA
PL1003,11,2019/05/22 06:13:41,NA,100,2,0,1e-4,1e-5,0,1e-6,2000000,NA,6.301029995663981,NA
PL1004,11,2019/05/27 04:36:38,NA,100,999,80,0.001,1e-4,7,1e-5,80000000,NA,7.903089986991944,NA
PL1005,11,2019/05/29 06:38:22,NA,100,999,34,0.001,1e-4,7,1e-5,34000000,NA,7.531478917042255,NA
PL1006,11,2019/06/03 06:24:33,NA,100,48,10,0.001,1e-4,0,1e-5,7400000,NA,6.869231719730976,NA
PL1007,11,2019/06/10 07:01:46,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL1008,11,2019/06/12 06:21:23,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL1009,11,2019/07/08 07:07:53,NA,100,60,10,0.001,1e-4,1,1e-5,8000000,NA,6.903089986991944,NA
PL1010,11,2019/07/10 06:37:56,NA,100,999,39,0.001,1e-4,4,1e-5,39000000,NA,7.5910646070264995,NA
PL1011,11,2019/07/15 06:01:25,NA,100,12,4,0.001,1e-4,0,1e-5,1200000,NA,6.079181246047625,NA
PL1012,11,2019/07/17 06:19:00,NA,100,32,10,0.001,1e-4,3,1e-5,6600000,NA,6.819543935541868,NA
PL1013,11,2019/07/22 06:27:58,NA,100,15,0,0.001,1e-4,0,1e-5,1500000,NA,6.176091259055681,NA
PL1014,11,2019/07/24 06:55:47,NA,100,132,20,0.001,1e-4,2,1e-5,16600000,NA,7.220108088040055,NA
PL1015,11,2019/07/29 06:15:52,NA,100,21,1,0.001,1e-4,0,1e-5,2100000,NA,6.3222192947339195,NA
PL1016,11,2019/07/31 07:25:53,NA,100,2,2,0.001,1e-4,0,1e-5,1100000,NA,6.041392685158225,NA
PL1017,11,2019/08/05 07:13:47,NA,100,112,11,0.001,1e-4,0,1e-5,11100000,NA,7.045322978786658,NA
PL1018,11,2019/08/07 06:56:09,NA,100,4,1,0.001,1e-4,0,1e-5,700000,NA,5.845098040014257,NA
PL1019,11,2019/08/20 05:58:54,NA,100,999,999,0.001,1e-4,56,1e-5,560000000,NA,8.7481880270062,NA
PL1020,11,2019/08/27 06:35:38,NA,100,998,999,0.001,1e-4,12,1e-5,120000000,NA,8.079181246047625,NA
PL1021,11,2019/09/03 06:53:05,NA,100,10,0,0.001,1e-4,0,9.999999999999999e-6,1000000,NA,6,NA
PL1022,11,2019/09/03 07:48:30,NA,100,4,0,0.001,1e-4,0,9.999999999999999e-6,400000,NA,5.6020599913279625,NA
PL1023,11,2019/09/04 06:08:46,NA,100,3,0,0.001,1e-4,0,9.999999999999999e-6,300000,300000,5.477121254719663,5.477121254719663
PL1024,11,2020/02/12 06:09:29,NA,100,1,0,1e-4,1e-5,NA,NA,1000000,1000000,6,6
PL1025,11,2020/02/12 06:26:24,NA,100,0,0,1e-4,1e-5,NA,NA,500000,0,5.698970004336019,NA
PL1026,11,2020/02/19 07:03:17,NA,100,0,0,0.001,1e-4,0,1e-5,50000,0,4.698970004336019,NA
PL1027,11,2020/02/19 07:29:41,NA,100,0,0,0.001,1e-4,0,1e-5,50000,0,4.698970004336019,NA
PL1028,11,2020/02/26 07:26:33,NA,100,1,0,0.001,1e-4,0,1e-5,100000,100000,5,5
PL1029,11,2020/02/26 07:40:21,NA,100,0,0,0.001,1e-4,0,1e-5,50000,0,4.698970004336019,NA
PL1030,11,2020/03/04 07:12:08,NA,100,1,0,0.001,1e-4,0,1e-5,100000,100000,5,5
PL1031,11,2020/03/04 07:24:34,NA,100,11,1,0.001,1e-4,0,1e-5,1100000,1050000,6.041392685158225,6.021189299069938
PL1032,11,2020/03/11 06:06:21,NA,100,66,0,0.01,0.001,0,1e-4,660000,660000,5.819543935541868,5.819543935541868
PL1033,11,2020/03/11 06:22:33,NA,100,999,68,0.01,0.001,24,1e-4,15400000,24000000,7.187520720836463,7.380211241711606
PL1034,11,2020/03/18 06:17:18,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL1035,11,2020/03/18 06:27:48,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL2001,11,2019/05/06 06:00:49,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL2002,11,2019/05/08 05:02:55,NA,100,998,998,0.001,1e-4,NA,NA,200000000,NA,8.301029995663981,NA
PL2003,11,2019/05/13 07:46:23,NA,100,11,0,0.001,1e-4,NA,NA,1100000,NA,6.041392685158225,NA
PLC1001,11,2019/05/13 06:30:28,NA,100,146,20,0.001,1e-4,NA,NA,17300000,NA,7.238046103128795,NA
PLC1002,11,2019/05/16 06:49:47,NA,100,13,2,0.001,1e-4,NA,NA,1300000,NA,6.113943352306837,NA
PLC1003,11,2019/05/20 05:20:11,NA,100,97,2,0.001,1e-4,NA,NA,9700000,NA,6.986771734266245,NA
PLC1004,11,2019/05/23 05:54:59,NA,100,42,8,1e-4,1e-5,3,1e-6,42000000,NA,7.623249290397901,NA
PLC1005,11,2019/05/27 05:22:53,NA,100,999,2,0.001,1e-4,1,1e-5,9999999.999999998,NA,7,NA
PLC1006,11,2019/05/30 08:06:40,NA,100,75,51,0.001,1e-4,27,1e-5,109500000,NA,8.039414119176136,NA
PLC1007,11,2019/06/10 06:13:46,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLC1008,11,2019/06/13 06:10:30,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLC1009,11,2019/06/13 06:24:31,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLC1010,11,2019/06/13 08:38:00,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLC1011,11,2019/06/17 05:25:01,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLC1012,11,2019/06/17 05:38:39,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLC1013,11,2019/06/17 06:20:15,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLC1014,11,2019/06/20 05:06:35,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLC1015,11,2019/06/20 06:35:06,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLC1016,11,2019/06/20 06:48:48,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLC1017,11,2019/06/24 05:25:05,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLC1018,11,2019/06/24 05:43:16,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLC1019,11,2019/06/24 06:11:54,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLC1020,11,2019/06/27 04:40:08,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLC1021,11,2019/06/27 05:23:18,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLC1022,11,2019/06/27 05:42:22,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLC1023,11,2019/07/01 05:34:11,NA,100,999,55,0.001,1e-4,2,1e-5,55000000,NA,7.740362689494244,NA
PLC1024,11,2019/07/01 06:06:58,NA,100,65,11,0.001,1e-4,0,1e-5,8750000,NA,6.942008053022313,NA
PLC1025,11,2019/09/16 06:07:24,NA,100,82,7,0.001,1e-4,1,9.999999999999999e-6,8200000,NA,6.913813852383717,NA
PLC1026,11,2019/09/19 06:18:40,NA,100,22,2,1e-4,1e-5,0,1e-6,22000000,NA,7.342422680822207,NA
PLC1027,11,2019/09/23 06:46:03,NA,100,168,11,1e-4,1e-5,2,1e-6,139000000,159333333.3333333,8.143014800254095,8.202306641892456
PLC1028,11,2019/09/26 05:50:01,NA,100,185,15,1e-4,1e-5,1,1e-6,167500000,145000000,8.224014811372864,8.161368002234974
PLC1029,11,2019/09/30 05:27:01,NA,100,13,2,1e-4,1e-5,0,1e-6,13000000,16500000,7.113943352306837,7.217483944213907
PLC1030,11,2019/09/30 06:11:15,NA,100,14,0,1e-4,1e-5,0,1e-6,14000000,14000000,7.146128035678238,7.146128035678238
PLC1031,11,2019/09/30 06:31:44,NA,100,0,0,1e-4,1e-5,0,1e-6,500000,0,5.698970004336019,NA
PLC1032,11,2019/10/03 06:00:16,NA,100,40,46,1e-4,1e-5,11,1e-6,533333333.3333333,780000000,8.726998727936262,8.89209460269048
PLC1033,11,2019/10/03 06:40:57,NA,100,192,92,1e-4,1e-5,3,1e-6,556000000,610000000,8.745074791582057,8.785329835010767
PLC1034,11,2019/10/03 07:02:09,NA,100,8,6,1e-4,1e-5,2,1e-6,NA,200000000,NA,8.301029995663981
PLC1035,11,2019/10/14 06:54:15,NA,100,999,19,1e-4,1e-5,4,1e-6,189999999.99999997,295000000,8.278753600952829,8.469822015978163
PLC1036,11,2019/10/14 07:14:45,NA,100,0,0,0.001,1e-4,0,9.999999999999999e-6,50000,0,4.698970004336019,NA
PLC1037,11,2019/10/17 05:32:25,NA,100,13,3,1e-4,1e-5,2,1e-6,13000000,21500000,7.113943352306837,7.332438459915605
PLC1038,11,2019/10/17 05:54:24,NA,100,68,0,0.001,1e-4,0,9.999999999999999e-6,6800000,6800000,6.832508912706237,6.832508912706237
PLC1039,11,2019/10/21 05:34:29,NA,100,13,8,0.001,1e-4,0,9.999999999999999e-6,1300000,4650000,6.113943352306837,6.6674529528899535
PLC1040,11,2019/10/21 06:00:57,NA,100,80,14,0.001,1e-4,3,9.999999999999999e-6,11000000,17333333.333333336,7.041392685158225,7.238882088915137
PLC1041,11,2019/10/21 06:26:10,NA,100,53,10,0.001,1e-4,2,9.999999999999999e-6,7650000,11766666.666666668,6.883661435153617,7.07065345066816
PLC1042,11,2019/10/21 07:27:31,NA,100,4,0,0.001,1e-4,0,9.999999999999999e-6,400000,400000,5.6020599913279625,5.6020599913279625
PLC1043,11,2019/10/21 07:53:29,NA,100,140,2,0.001,1e-4,1,9.999999999999999e-6,14000000,14000000,7.146128035678238,7.146128035678238
PLC1044,11,2019/10/24 03:41:53,NA,100,12,1,1e-4,1e-5,0,1e-6,12000000,11000000,7.079181246047625,7.041392685158225
PLC1045,11,2019/10/24 04:12:32,NA,100,5,0,1e-4,1e-5,0,1e-6,5000000,5000000,6.698970004336019,6.698970004336019
PLC1046,11,2019/10/24 04:42:14,NA,100,3,0,1e-4,1e-5,0,1e-6,3000000,3000000,6.477121254719663,6.477121254719663
PLC1047,11,2019/10/24 05:19:57,NA,100,44,0,1e-4,1e-5,0,1e-6,44000000,44000000,7.643452676486188,7.643452676486188
PLC1048,11,2019/10/24 05:41:53,NA,100,140,25,1e-4,1e-5,0,1e-6,195000000,195000000,8.290034611362518,8.290034611362518
PLC1049,11,2019/10/28 04:07:12,NA,100,28,3,0.001,1e-4,0,9.999999999999999e-6,2800000,2900000,6.447158031342219,6.4623979978989565
PLC1050,11,2019/10/28 04:47:04,NA,100,71,7,0.001,1e-4,1,9.999999999999999e-6,7100000,7050000,6.8512583487190755,6.848189116991398
PLC1051,11,2019/10/28 05:12:15,NA,100,999,20,0.001,1e-4,10,9.999999999999999e-6,60000000,20000000,7.778151250383644,7.301029995663981
PLC1052,11,2019/10/28 05:42:15,NA,100,4,0,0.001,1e-4,0,9.999999999999999e-6,400000,400000,5.6020599913279625,5.6020599913279625
PLC1053,11,2019/10/28 06:20:07,NA,100,0,0,0.001,1e-4,0,9.999999999999999e-6,50000,0,4.698970004336019,NA
PLC1054,11,2019/10/31 03:52:18,NA,100,98,1,0.001,1e-4,0,9.999999999999999e-6,9800000,9800000,6.991226075692495,6.991226075692495
PLC1055,11,2019/10/31 04:16:26,NA,100,1,0,0.001,1e-4,0,9.999999999999999e-6,100000,100000,5,5
PLC1056,11,2019/10/31 05:00:23,NA,100,0,0,0.001,1e-4,0,9.999999999999999e-6,50000,0,4.698970004336019,NA
PLC1057,11,2019/10/31 05:21:21,NA,100,21,0,0.001,1e-4,0,9.999999999999999e-6,2100000,2100000,6.3222192947339195,6.3222192947339195
PLC1058,11,2019/10/31 05:35:13,NA,100,38,5,0.001,1e-4,0,9.999999999999999e-6,3800000,4400000,6.57978359661681,6.643452676486188
PLC1059,11,2019/11/01 04:32:42,NA,100,34,6,0.001,1e-4,1,9.999999999999999e-6,3400000,4700000,6.531478917042255,6.672097857935717
PLC1060,11,2019/11/01 05:59:13,NA,100,30,5,1e-4,1e-5,0,1e-6,30000000,40000000,7.477121254719663,7.6020599913279625
PLC1061,11,2019/11/04 04:58:56,NA,100,182,21,1e-4,1e-5,2,1e-6,196000000,197333333.3333333,8.292256071356476,8.295200452003257
PLC1062,11,2019/11/04 05:08:40,NA,100,15,0,0.001,1e-4,0,9.999999999999999e-6,1500000,1500000,6.176091259055681,6.176091259055681
PLC1063,11,2019/11/04 05:23:26,NA,100,88,9,0.001,1e-4,1,9.999999999999999e-6,8800000,9266666.666666668,6.944482672150168,6.966923541198414
PLC1064,11,2019/11/04 05:42:15,NA,100,4,0,1e-4,1e-5,0,1e-6,4000000,4000000,6.6020599913279625,6.6020599913279625
PLC1065,11,2019/11/04 05:59:04,NA,100,999,62,0.001,1e-4,4,9.999999999999999e-6,62000000,51000000,7.7923916894982534,7.707570176097937
PLC1066,11,2019/11/05 06:05:37,NA,100,52,4,1e-4,1e-5,0,1e-6,52000000,46000000,7.7160033436347994,7.662757831681574
PLC1067,11,2019/11/05 06:31:44,NA,100,196,26,1e-4,1e-5,2,1e-6,228000000,218666666.66666666,8.357934847000454,8.339782584655998
PLC1068,11,2019/11/07 04:39:15,NA,100,22,5,1e-4,1e-5,0,1e-6,22000000,36000000,7.342422680822207,7.556302500767287
PLC1069,11,2019/11/07 04:53:16,NA,100,48,3,1e-4,1e-5,0,1e-6,48000000,39000000,7.681241237375588,7.5910646070264995
PLC1070,11,2019/11/07 05:01:10,NA,100,10,3,1e-4,1e-5,2,1e-6,10000000,20000000,7,7.301029995663981
PLC1071,11,2019/11/07 05:18:45,NA,100,1,1,1e-4,1e-5,0,1e-6,5499999.999999999,10000000,6.740362689494244,7
PLC1072,11,2019/11/07 05:35:28,NA,100,2,0,1e-4,1e-5,0,1e-6,2000000,2000000,6.301029995663981,6.301029995663981
PLC1073,11,2019/11/08 06:04:46,NA,100,80,12,0.001,1e-4,10,9.999999999999999e-6,40000000,10000000,7.6020599913279625,7
PLC1074,11,2019/11/08 06:23:10,NA,100,40,4,0.001,1e-4,0,9.999999999999999e-6,4000000,4000000,6.6020599913279625,6.6020599913279625
PLC1075,11,2019/11/08 07:05:18,NA,100,999,31,0.001,1e-4,1,9.999999999999999e-6,31000000,20500000,7.491361693834273,7.311753861055754
PLC1076,11,2019/11/15 04:05:59,NA,100,24,1,1e-4,1e-5,0,1e-6,24000000,17000000,7.380211241711606,7.230448921378274
PLC1077,11,2019/11/15 04:57:23,NA,100,45,5,0.001,1e-4,0,9.999999999999999e-6,4500000,4750000,6.653212513775344,6.676693609624866
PLC1078,11,2019/11/15 05:25:53,NA,100,998,39,0.001,1e-4,3,9.999999999999999e-6,39000000,19500150,7.5910646070264995,7.290037952076453
PLC1079,11,2019/11/15 06:29:48,NA,100,0,0,0.001,1e-4,0,9.999999999999999e-6,50000,0,4.698970004336019,NA
PLC1080,11,2019/11/15 06:57:04,NA,100,101,11,0.001,1e-4,0,9.999999999999999e-6,10550000,10550000,7.023252459633712,7.023252459633712
PLC1081,11,2019/11/18 05:44:10,NA,100,999,108,1e-4,1e-5,10,1e-6,1040000000,1040000000,9.01703333929878,9.01703333929878
PLC1082,11,2019/11/18 06:05:22,NA,100,101,10,1e-4,1e-5,2,1e-6,100500000,133666666.66666667,8.002166061756508,8.12602311790052
PLC1083,11,2019/11/18 06:31:15,NA,100,161,17,1e-4,1e-5,5,1e-6,165500000,277000000,8.218797998111738,8.442479769064448
PLC1084,11,2019/11/18 07:01:32,NA,100,78,8,1e-4,1e-5,1,1e-6,78000000,86000000,7.892094602690481,7.9344984512435675
PLC1085,11,2019/11/19 05:27:48,NA,100,39,3,1e-4,1e-5,2,1e-6,39000000,34500000,7.5910646070264995,7.537819095073274
PLC1086,11,2019/11/19 05:53:47,NA,100,999,198,1e-4,1e-5,21,1e-6,2040000000,2040000000,9.3096301674259,9.3096301674259
PLC1087,11,2019/11/19 06:11:09,NA,100,1,0,1e-4,1e-5,0,1e-6,1000000,1000000,6,6
PLC1088,11,2019/11/21 05:10:11,NA,100,101,15,1e-4,1e-5,0,1e-6,125500000,125500000,8.098643725817057,8.098643725817057
PLC1089,11,2019/11/21 05:23:49,NA,100,29,2,1e-4,1e-5,0,1e-6,29000000,24500000,7.4623979978989565,7.389166084364533
PLC1090,11,2019/11/21 05:46:01,NA,100,4,0,1e-4,1e-5,0,1e-6,4000000,4000000,6.6020599913279625,6.6020599913279625
PLC1091,11,2019/11/21 06:24:25,NA,100,1,1,1e-4,1e-5,0,1e-6,5499999.999999999,10000000,6.740362689494244,7
PLC1092,11,2019/11/22 06:49:54,NA,100,998,998,1e-4,1e-5,28,1e-6,2800000000,2800000000,9.44715803134222,9.44715803134222
PLC1093,11,2019/11/22 07:06:17,NA,100,200,21,1e-4,1e-5,2,1e-6,205000000,203333333.3333333,8.311753861055754,8.308208580291105
PLC1094,11,2019/11/22 07:22:54,NA,100,6,0,1e-4,1e-5,0,1e-6,6000000,6000000,6.778151250383644,6.778151250383644
PLC1095,11,2019/11/25 05:31:57,NA,100,0,0,0.001,1e-4,0,9.999999999999999e-6,50000,0,4.698970004336019,NA
PLC1096,11,2019/11/25 06:29:55,NA,100,12,4,0.001,1e-4,0,9.999999999999999e-6,1200000,2600000,6.079181246047625,6.414973347970818
PLC1097,11,2019/11/26 04:54:23,NA,100,999,999,0.001,1e-4,56,9.999999999999999e-6,560000000.0000001,560000000,8.7481880270062,8.7481880270062
PLC1098,11,2019/11/26 05:25:03,NA,100,98,5,0.001,1e-4,0,9.999999999999999e-6,9800000,7400000,6.991226075692495,6.869231719730976
PLC1099,11,2019/11/26 05:43:38,NA,100,13,1,0.001,1e-4,0,9.999999999999999e-6,1300000,1150000,6.113943352306837,6.060697840353612
PLC1100,11,2019/11/28 05:31:02,NA,100,0,0,1e-4,1e-5,0,1e-6,500000,0,5.698970004336019,NA
PLC1101,11,2019/11/28 06:28:11,NA,100,24,4,1e-4,1e-5,1,1e-6,24000000,32000000,7.380211241711606,7.505149978319906
PLC1102,11,2019/11/29 05:47:39,NA,100,0,0,1e-4,1e-5,0,1e-6,500000,0,5.698970004336019,NA
PLC1103,11,2019/11/29 06:02:48,NA,100,1,0,1e-4,1e-5,0,1e-6,1000000,1000000,6,6
PLC1104,11,2019/11/29 06:21:43,NA,100,1,1,1e-4,1e-5,0,1e-6,5499999.999999999,1000000,6.740362689494244,6
