"citylabel","sample_type","pop","sum","a3","a2","a1","a0"
"Vellore 14","Open Drains","Adults",396,0.0606060606060606,0.103535353535354,0.373737373737374,0.462121212121212
"Maputo 15","Open Drains","Adults",0,,,,
"Accra 16","Open Drains","Adults",1253,0.154828411811652,0.136472466081405,0.260175578611333,0.448523543495611
"Maputo 16","Open Drains","Adults",129,0.10077519379845,0.0542635658914729,0.0775193798449612,0.767441860465116
"Siem Reap 16","Open Drains","Adults",403,0.032258064516129,0.0148883374689826,0.208436724565757,0.744416873449132
"Atlanta 16","Open Drains","Adults",0,,,,
"Dhaka 17","Open Drains","Adults",1829,0.4215418261345,0.143247676325861,0.147621651175506,0.287588846364133
"Lusaka 18","Open Drains","Adults",201,0.109452736318408,0.0447761194029851,0.119402985074627,0.72636815920398
"Accra 18","Open Drains","Adults",433,0.12933025404157,0.115473441108545,0.300230946882217,0.454965357967667
"Kumasi 18","Open Drains","Adults",1005,0.411940298507463,0.146268656716418,0.206965174129353,0.234825870646766
"Kampala 18","Open Drains","Adults",764,0.204188481675393,0.109947643979058,0.179319371727749,0.506544502617801
"Vellore 14","Raw Produce","Adults",408,0.122549019607843,0.115196078431373,0.286764705882353,0.475490196078431
"Maputo 15","Raw Produce","Adults",0,,,,
"Accra 16","Raw Produce","Adults",1382,0.301013024602026,0.26917510853835,0.375542691751085,0.0542691751085383
"Maputo 16","Raw Produce","Adults",133,0.0150375939849624,0.0451127819548872,0.902255639097744,0.037593984962406
"Siem Reap 16","Raw Produce","Adults",410,0.0048780487804878,0.0804878048780488,0.880487804878049,0.0341463414634146
"Atlanta 16","Raw Produce","Adults",22,0.363636363636364,0.181818181818182,0.454545454545455,0
"Dhaka 17","Raw Produce","Adults",1802,0.236403995560488,0.251387347391787,0.385682574916759,0.126526082130966
"Lusaka 18","Raw Produce","Adults",212,0.235849056603774,0.089622641509434,0.325471698113208,0.349056603773585
"Accra 18","Raw Produce","Adults",440,0.354545454545455,0.238636363636364,0.309090909090909,0.0977272727272727
"Kumasi 18","Raw Produce","Adults",1027,0.441090555014606,0.175267770204479,0.254138266796495,0.129503407984421
"Kampala 18","Raw Produce","Adults",715,0.0979020979020979,0.152447552447552,0.4,0.34965034965035
"Vellore 14","Drinking Water (DW)","Adults",450,0.753333333333333,0.0644444444444444,0.0622222222222222,0.12
"Maputo 15","Drinking Water (DW)","Adults",0,,,,
"Accra 16","Drinking Water (DW)","Adults",1337,0.2490650710546,0.128646222887061,0.209424083769634,0.412864622288706
"Maputo 16","Drinking Water (DW)","Adults",131,0.977099236641221,0.00763358778625954,0.00763358778625954,0.00763358778625954
"Siem Reap 16","Drinking Water (DW)","Adults",0,,,,
"Atlanta 16","Drinking Water (DW)","Adults",22,0.363636363636364,0.181818181818182,0.272727272727273,0.181818181818182
"Dhaka 17","Drinking Water (DW)","Adults",1915,0.702349869451697,0.0720626631853786,0.0360313315926893,0.189556135770235
"Lusaka 18","Drinking Water (DW)","Adults",234,0.846153846153846,0.0299145299145299,0.00854700854700855,0.115384615384615
"Accra 18","Drinking Water (DW)","Adults",436,0.286697247706422,0.194954128440367,0.149082568807339,0.369266055045872
"Kumasi 18","Drinking Water (DW)","Adults",1014,0.71301775147929,0.108481262327416,0.0779092702169625,0.100591715976331
"Kampala 18","Drinking Water (DW)","Adults",728,0.519230769230769,0.0343406593406593,0.0370879120879121,0.409340659340659
"Vellore 14","DW, other","Adults",0,,,,
"Maputo 15","DW, other","Adults",0,,,,
"Accra 16","DW, other","Adults",0,,,,
"Maputo 16","DW, other","Adults",0,,,,
"Siem Reap 16","DW, other","Adults",820,0.496341463414634,0,0.00365853658536585,0
"Atlanta 16","DW, other","Adults",0,,,,
"Dhaka 17","DW, other","Adults",3508,0.121721778791334,0.0575826681870011,0.0763968072976055,0.244298745724059
"Lusaka 18","DW, other","Adults",0,,,,
"Accra 18","DW, other","Adults",0,,,,
"Kumasi 18","DW, other","Adults",0,,,,
"Kampala 18","DW, other","Adults",1446,0.134854771784232,0.0110650069156293,0.0235131396957123,0.330567081604426
"Vellore 14","Ocean","Adults",0,,,,
"Maputo 15","Ocean","Adults",0,,,,
"Accra 16","Ocean","Adults",1091,0.109074243813016,0.0549954170485793,0.236480293308891,0.599450045829514
"Maputo 16","Ocean","Adults",0,,,,
"Siem Reap 16","Ocean","Adults",0,,,,
"Atlanta 16","Ocean","Adults",0,,,,
"Dhaka 17","Ocean","Adults",0,,,,
"Lusaka 18","Ocean","Adults",0,,,,
"Accra 18","Ocean","Adults",216,0.087962962962963,0.152777777777778,0.171296296296296,0.587962962962963
"Kumasi 18","Ocean","Adults",0,,,,
"Kampala 18","Ocean","Adults",0,,,,
"Vellore 14","Surface Water","Adults",0,,,,
"Maputo 15","Surface Water","Adults",104,0.192307692307692,0.0769230769230769,0.153846153846154,0.576923076923077
"Accra 16","Surface Water","Adults",1063,0.0649106302916275,0.0555032925682032,0.114769520225776,0.764816556914393
"Maputo 16","Surface Water","Adults",0,,,,
"Siem Reap 16","Surface Water","Adults",392,0.0306122448979592,0.048469387755102,0.510204081632653,0.410714285714286
"Atlanta 16","Surface Water","Adults",22,0,0.0454545454545455,0.227272727272727,0.727272727272727
"Dhaka 17","Surface Water","Adults",1849,0.213628988642509,0.126554894537588,0.189832341806382,0.469983775013521
"Lusaka 18","Surface Water","Adults",0,,,,
"Accra 18","Surface Water","Adults",316,0.110759493670886,0.0537974683544304,0.0632911392405063,0.772151898734177
"Kumasi 18","Surface Water","Adults",683,0.128843338213763,0.0161054172767204,0.149341142020498,0.705710102489019
"Kampala 18","Surface Water","Adults",753,0.051792828685259,0.0278884462151394,0.0836653386454183,0.836653386454183
"Vellore 14","Floodwater","Adults",410,0.175609756097561,0.121951219512195,0.339024390243902,0.363414634146341
"Maputo 15","Floodwater","Adults",111,0.531531531531532,0.18018018018018,0.207207207207207,0.0810810810810811
"Accra 16","Floodwater","Adults",1301,0.136817832436587,0.111452728670254,0.291314373558801,0.460415065334358
"Maputo 16","Floodwater","Adults",128,0.5234375,0.234375,0.171875,0.0703125
"Siem Reap 16","Floodwater","Adults",410,0.448780487804878,0.197560975609756,0.302439024390244,0.0512195121951219
"Atlanta 16","Floodwater","Adults",23,0.0434782608695652,0.0869565217391304,0.565217391304348,0.304347826086957
"Dhaka 17","Floodwater","Adults",1769,0.409270774448841,0.184850197851894,0.246466930469192,0.159412097230073
"Lusaka 18","Floodwater","Adults",220,0.722727272727273,0.0863636363636364,0.159090909090909,0.0318181818181818
"Accra 18","Floodwater","Adults",434,0.0944700460829493,0.165898617511521,0.315668202764977,0.423963133640553
"Kumasi 18","Floodwater","Adults",981,0.212028542303772,0.213047910295617,0.288481141692151,0.286442405708461
"Kampala 18","Floodwater","Adults",746,0.0857908847184987,0.10857908847185,0.319034852546917,0.486595174262735
"Vellore 14","Public Latrine","Adults",436,0.073394495412844,0.149082568807339,0.334862385321101,0.442660550458716
"Maputo 15","Public Latrine","Adults",99,0.141414141414141,0.545454545454545,0.292929292929293,0.0202020202020202
"Accra 16","Public Latrine","Adults",1336,0.288922155688623,0.173652694610778,0.245508982035928,0.291916167664671
"Maputo 16","Public Latrine","Adults",0,,,,
"Siem Reap 16","Public Latrine","Adults",0,,,,
"Atlanta 16","Public Latrine","Adults",21,0.0952380952380952,0.142857142857143,0.666666666666667,0.0952380952380952
"Dhaka 17","Public Latrine","Adults",1815,0.379063360881543,0.19228650137741,0.0887052341597796,0.339944903581267
"Lusaka 18","Public Latrine","Adults",176,0.193181818181818,0.147727272727273,0.136363636363636,0.522727272727273
"Accra 18","Public Latrine","Adults",418,0.308612440191388,0.174641148325359,0.0909090909090909,0.425837320574163
"Kumasi 18","Public Latrine","Adults",1015,0.475862068965517,0.228571428571429,0.115270935960591,0.180295566502463
"Kampala 18","Public Latrine","Adults",721,0.262135922330097,0.181692094313454,0.0859916782246879,0.470180305131761
"Vellore 14","Bathing Water","Adults",0,,,,
"Maputo 15","Bathing Water","Adults",0,,,,
"Accra 16","Bathing Water","Adults",0,,,,
"Maputo 16","Bathing Water","Adults",0,,,,
"Siem Reap 16","Bathing Water","Adults",0,,,,
"Atlanta 16","Bathing Water","Adults",0,,,,
"Dhaka 17","Bathing Water","Adults",1913,0.326189231573445,0.58128593831678,0.0909566126502875,0.00156821745948772
"Lusaka 18","Bathing Water","Adults",236,0.427966101694915,0.555084745762712,0.0169491525423729,0
"Accra 18","Bathing Water","Adults",440,0.879545454545455,0.104545454545455,0.0113636363636364,0.00454545454545455
"Kumasi 18","Bathing Water","Adults",1036,0.950772200772201,0.0453667953667954,0.00386100386100386,0
"Kampala 18","Bathing Water","Adults",752,0.873670212765957,0.122340425531915,0.00132978723404255,0.00265957446808511
"Vellore 14","Street Food","Adults",0,,,,
"Maputo 15","Street Food","Adults",0,,,,
"Accra 16","Street Food","Adults",0,,,,
"Maputo 16","Street Food","Adults",0,,,,
"Siem Reap 16","Street Food","Adults",0,,,,
"Atlanta 16","Street Food","Adults",0,,,,
"Dhaka 17","Street Food","Adults",1791,0.156337241764377,0.164712451144612,0.34394193188163,0.33500837520938
"Lusaka 18","Street Food","Adults",228,0.100877192982456,0.0921052631578947,0.403508771929825,0.403508771929825
"Accra 18","Street Food","Adults",440,0.279545454545455,0.268181818181818,0.336363636363636,0.115909090909091
"Kumasi 18","Street Food","Adults",1038,0.514450867052023,0.184971098265896,0.212909441233141,0.0876685934489403
"Kampala 18","Street Food","Adults",726,0.224517906336088,0.389807162534435,0.258953168044077,0.126721763085399
"Vellore 14","DW, other","Adults",0,,,,
"Maputo 15","DW, other","Adults",0,,,,
"Accra 16","DW, other","Adults",0,,,,
"Maputo 16","DW, other","Adults",0,,,,
"Siem Reap 16","DW, other","Adults",820,0.496341463414634,0,0.00365853658536585,0
"Atlanta 16","DW, other","Adults",0,,,,
"Dhaka 17","DW, other","Adults",3508,0.121721778791334,0.0575826681870011,0.0763968072976055,0.244298745724059
"Lusaka 18","DW, other","Adults",0,,,,
"Accra 18","DW, other","Adults",0,,,,
"Kumasi 18","DW, other","Adults",0,,,,
"Kampala 18","DW, other","Adults",1446,0.134854771784232,0.0110650069156293,0.0235131396957123,0.330567081604426
"Vellore 14","Open Drains","Children",503,0.107355864811133,0.119284294234592,0.405566600397614,0.36779324055666
"Maputo 15","Open Drains","Children",0,,,,
"Accra 16","Open Drains","Children",1066,0.166041275797373,0.0956848030018762,0.289868667917448,0.448405253283302
"Maputo 16","Open Drains","Children",91,0.10989010989011,0.043956043956044,0.0659340659340659,0.78021978021978
"Siem Reap 16","Open Drains","Children",319,0.0219435736677116,0.0156739811912226,0.213166144200627,0.749216300940439
"Atlanta 16","Open Drains","Children",0,,,,
"Dhaka 17","Open Drains","Children",1873,0.434063000533903,0.136679124399359,0.151094500800854,0.278163374265884
"Lusaka 18","Open Drains","Children",226,0.119469026548673,0.0619469026548673,0.185840707964602,0.632743362831858
"Accra 18","Open Drains","Children",424,0.200471698113208,0.242924528301887,0.193396226415094,0.363207547169811
"Kumasi 18","Open Drains","Children",958,0.534446764091858,0.131524008350731,0.15553235908142,0.178496868475992
"Kampala 18","Open Drains","Children",721,0.245492371705964,0.163661581137309,0.21497919556172,0.375866851595007
"Vellore 14","Raw Produce","Children",501,0.153692614770459,0.105788423153693,0.269461077844311,0.471057884231537
"Maputo 15","Raw Produce","Children",0,,,,
"Accra 16","Raw Produce","Children",1071,0.279178338001867,0.287581699346405,0.352941176470588,0.0802987861811391
"Maputo 16","Raw Produce","Children",94,0,0.0319148936170213,0.946808510638298,0.0212765957446809
"Siem Reap 16","Raw Produce","Children",321,0.00623052959501558,0.0311526479750779,0.809968847352025,0.152647975077882
"Atlanta 16","Raw Produce","Children",18,0.333333333333333,0.0555555555555556,0.611111111111111,0
"Dhaka 17","Raw Produce","Children",1898,0.227608008429926,0.263435194942044,0.36986301369863,0.139093782929399
"Lusaka 18","Raw Produce","Children",230,0.117391304347826,0.147826086956522,0.395652173913043,0.339130434782609
"Accra 18","Raw Produce","Children",439,0.416856492027335,0.218678815489749,0.275626423690205,0.0888382687927107
"Kumasi 18","Raw Produce","Children",1003,0.490528414755733,0.26321036889332,0.166500498504487,0.0797607178464606
"Kampala 18","Raw Produce","Children",752,0.115691489361702,0.143617021276596,0.398936170212766,0.341755319148936
"Vellore 14","Drinking Water (DW)","Children",487,0.726899383983573,0.080082135523614,0.0574948665297741,0.135523613963039
"Maputo 15","Drinking Water (DW)","Children",0,,,,
"Accra 16","Drinking Water (DW)","Children",1031,0.327837051406402,0.1454898157129,0.229873908826382,0.296799224054316
"Maputo 16","Drinking Water (DW)","Children",93,0.989247311827957,0,0,0.010752688172043
"Siem Reap 16","Drinking Water (DW)","Children",0,,,,
"Atlanta 16","Drinking Water (DW)","Children",16,0.5,0.1875,0.25,0.0625
"Dhaka 17","Drinking Water (DW)","Children",1915,0.709660574412533,0.0647519582245431,0.0360313315926893,0.189556135770235
"Lusaka 18","Drinking Water (DW)","Children",234,0.735042735042735,0.106837606837607,0.0128205128205128,0.145299145299145
"Accra 18","Drinking Water (DW)","Children",436,0.311926605504587,0.243119266055046,0.121559633027523,0.323394495412844
"Kumasi 18","Drinking Water (DW)","Children",1004,0.797808764940239,0.0956175298804781,0.0468127490039841,0.0597609561752988
"Kampala 18","Drinking Water (DW)","Children",757,0.532364597093791,0.083223249669749,0.0898282694848085,0.294583883751651
"Vellore 14","DW, other","Children",0,,,,
"Maputo 15","DW, other","Children",0,,,,
"Accra 16","DW, other","Children",0,,,,
"Maputo 16","DW, other","Children",0,,,,
"Siem Reap 16","DW, other","Children",634,0.490536277602524,0,0.00946372239747634,0
"Atlanta 16","DW, other","Children",0,,,,
"Dhaka 17","DW, other","Children",3660,0.139071038251366,0.0434426229508197,0.0715846994535519,0.245901639344262
"Lusaka 18","DW, other","Children",0,,,,
"Accra 18","DW, other","Children",0,,,,
"Kumasi 18","DW, other","Children",0,,,,
"Kampala 18","DW, other","Children",1530,0.133986928104575,0.0104575163398693,0.0392156862745098,0.316339869281046
"Vellore 14","Ocean","Children",0,,,,
"Maputo 15","Ocean","Children",0,,,,
"Accra 16","Ocean","Children",749,0.102803738317757,0.0774365821094793,0.276368491321762,0.543391188251001
"Maputo 16","Ocean","Children",0,,,,
"Siem Reap 16","Ocean","Children",0,,,,
"Atlanta 16","Ocean","Children",0,,,,
"Dhaka 17","Ocean","Children",0,,,,
"Lusaka 18","Ocean","Children",0,,,,
"Accra 18","Ocean","Children",216,0.115740740740741,0.087962962962963,0.106481481481481,0.689814814814815
"Kumasi 18","Ocean","Children",0,,,,
"Kampala 18","Ocean","Children",0,,,,
"Vellore 14","Surface Water","Children",0,,,,
"Maputo 15","Surface Water","Children",93,0.150537634408602,0.010752688172043,0.0860215053763441,0.752688172043011
"Accra 16","Surface Water","Children",757,0.0673712021136063,0.0449141347424042,0.190224570673712,0.697490092470277
"Maputo 16","Surface Water","Children",0,,,,
"Siem Reap 16","Surface Water","Children",310,0.0354838709677419,0.0483870967741935,0.464516129032258,0.451612903225806
"Atlanta 16","Surface Water","Children",12,0.0833333333333333,0,0.416666666666667,0.5
"Dhaka 17","Surface Water","Children",1868,0.2093147751606,0.133297644539615,0.156852248394004,0.500535331905782
"Lusaka 18","Surface Water","Children",0,,,,
"Accra 18","Surface Water","Children",315,0.0444444444444444,0.107936507936508,0.13968253968254,0.707936507936508
"Kumasi 18","Surface Water","Children",636,0.161949685534591,0.0738993710691824,0.182389937106918,0.581761006289308
"Kampala 18","Surface Water","Children",761,0.0591327201051248,0.0446780551905388,0.110381077529566,0.78580814717477
"Vellore 14","Floodwater","Children",491,0.173116089613035,0.118126272912424,0.425661914460285,0.283095723014257
"Maputo 15","Floodwater","Children",95,0.505263157894737,0.189473684210526,0.221052631578947,0.0842105263157895
"Accra 16","Floodwater","Children",1071,0.136321195144725,0.135387488328665,0.311858076563959,0.416433239962652
"Maputo 16","Floodwater","Children",92,0.619565217391304,0.195652173913043,0.16304347826087,0.0217391304347826
"Siem Reap 16","Floodwater","Children",321,0.38006230529595,0.165109034267913,0.348909657320872,0.105919003115265
"Atlanta 16","Floodwater","Children",16,0,0.0625,0.6875,0.25
"Dhaka 17","Floodwater","Children",1868,0.383297644539615,0.17237687366167,0.260706638115632,0.183618843683084
"Lusaka 18","Floodwater","Children",241,0.713692946058091,0.161825726141079,0.0954356846473029,0.029045643153527
"Accra 18","Floodwater","Children",428,0.172897196261682,0.13785046728972,0.275700934579439,0.413551401869159
"Kumasi 18","Floodwater","Children",910,0.328571428571429,0.228571428571429,0.23956043956044,0.203296703296703
"Kampala 18","Floodwater","Children",756,0.121693121693122,0.145502645502645,0.318783068783069,0.414021164021164
"Vellore 14","Public Latrine","Children",487,0.131416837782341,0.114989733059548,0.301848049281314,0.451745379876797
"Maputo 15","Public Latrine","Children",92,0.206521739130435,0.478260869565217,0.260869565217391,0.0543478260869565
"Accra 16","Public Latrine","Children",1055,0.278672985781991,0.21042654028436,0.287203791469194,0.223696682464455
"Maputo 16","Public Latrine","Children",0,,,,
"Siem Reap 16","Public Latrine","Children",0,,,,
"Atlanta 16","Public Latrine","Children",15,0.266666666666667,0.2,0.466666666666667,0.0666666666666667
"Dhaka 17","Public Latrine","Children",1892,0.403276955602537,0.212473572938689,0.107822410147992,0.276427061310782
"Lusaka 18","Public Latrine","Children",238,0.273109243697479,0.273109243697479,0.298319327731092,0.15546218487395
"Accra 18","Public Latrine","Children",421,0.315914489311164,0.190023752969121,0.0712589073634204,0.422802850356295
"Kumasi 18","Public Latrine","Children",989,0.541961577350859,0.239635995955511,0.0808897876643074,0.137512639029323
"Kampala 18","Public Latrine","Children",726,0.341597796143251,0.154269972451791,0.0881542699724518,0.415977961432507
"Vellore 14","Bathing Water","Children",0,,,,
"Maputo 15","Bathing Water","Children",0,,,,
"Accra 16","Bathing Water","Children",0,,,,
"Maputo 16","Bathing Water","Children",0,,,,
"Siem Reap 16","Bathing Water","Children",0,,,,
"Atlanta 16","Bathing Water","Children",0,,,,
"Dhaka 17","Bathing Water","Children",1911,0.312925170068027,0.565149136577708,0.116692830978545,0.00523286237571952
"Lusaka 18","Bathing Water","Children",243,0.349794238683128,0.588477366255144,0.0534979423868313,0.00823045267489712
"Accra 18","Bathing Water","Children",440,0.743181818181818,0.204545454545455,0.0522727272727273,0
"Kumasi 18","Bathing Water","Children",1039,0.794995187680462,0.203079884504331,0.00192492781520693,0
"Kampala 18","Bathing Water","Children",766,0.627937336814621,0.351174934725849,0.0182767624020888,0.00261096605744125
"Vellore 14","Street Food","Children",0,,,,
"Maputo 15","Street Food","Children",0,,,,
"Accra 16","Street Food","Children",0,,,,
"Maputo 16","Street Food","Children",0,,,,
"Siem Reap 16","Street Food","Children",0,,,,
"Atlanta 16","Street Food","Children",0,,,,
"Dhaka 17","Street Food","Children",1883,0.322357939458311,0.216144450345194,0.329792883696229,0.131704726500266
"Lusaka 18","Street Food","Children",235,0.204255319148936,0.178723404255319,0.323404255319149,0.293617021276596
"Accra 18","Street Food","Children",438,0.32648401826484,0.230593607305936,0.337899543378995,0.105022831050228
"Kumasi 18","Street Food","Children",1029,0.76287657920311,0.158406219630709,0.0660835762876579,0.0126336248785228
"Kampala 18","Street Food","Children",761,0.382391590013141,0.339027595269382,0.197109067017083,0.0814717477003942
"Vellore 14","DW, other","Children",0,,,,
"Maputo 15","DW, other","Children",0,,,,
"Accra 16","DW, other","Children",0,,,,
"Maputo 16","DW, other","Children",0,,,,
"Siem Reap 16","DW, other","Children",634,0.490536277602524,0,0.00946372239747634,0
"Atlanta 16","DW, other","Children",0,,,,
"Dhaka 17","DW, other","Children",3660,0.139071038251366,0.0434426229508197,0.0715846994535519,0.245901639344262
"Lusaka 18","DW, other","Children",0,,,,
"Accra 18","DW, other","Children",0,,,,
"Kumasi 18","DW, other","Children",0,,,,
"Kampala 18","DW, other","Children",1530,0.133986928104575,0.0104575163398693,0.0392156862745098,0.316339869281046
