"UID","dply_num","lab_date","sample_type","col_sample_type_alt","sampleid","mf","neighborhood","neighb_UID","lab_1_ecoli","lab_2_ecoli","lab_3_ecoli","ec_dil1","ec_dil2","ec_dil3","ec_ecnt1","ec_ecnt2","ec_ecnt3","count1","count2","dil1","dil2","count3","dil3","ec_conc"
"09_01_1351",9,"2018-11-26",1,"","1351",TRUE,"3",903,1,0,,0.001,1e-04,,1,0,,1,0,0.001,1e-04,,,1e+05
"09_01_1352",9,"2018-11-26",1,"","1352",TRUE,"3",903,140,72,,0.001,1e-04,,140,72,,140,72,0.001,1e-04,,,4.3e+07
"09_01_1353",9,"2018-11-24",1,"","1353",TRUE,"3",903,999,43,,0.001,1e-04,,999,43,,999,43,0.001,1e-04,,,4.3e+07
"09_01_1354",9,"2018-11-26",1,"","1354",TRUE,"3",903,0,3,,0.001,1e-04,,0,3,,0,3,0.001,1e-04,,,
"09_01_1355",9,"2018-11-26",1,"","1355",TRUE,"3",903,999,16,,0.001,1e-04,,999,16,,999,16,0.001,1e-04,,,1.6e+07
"09_01_1356",9,"2018-11-26",1,"","1356",TRUE,"3",903,121,0,,0.001,1e-04,,121,0,,121,0,0.001,1e-04,,,12100000
"09_01_1357",9,"2018-11-26",1,"","1357",TRUE,"3",903,0,4,,0.001,1e-04,,0,4,,0,4,0.001,1e-04,,,
"09_01_1358",9,"2018-11-26",1,"","1358",TRUE,"3",903,136,15,,0.001,1e-04,,136,15,,136,15,0.001,1e-04,,,14300000
"09_01_1359",9,"2018-11-26",1,"","1359",TRUE,"3",903,999,999,,0.001,1e-04,,999,999,,999,999,0.001,1e-04,,,2e+08
"09_01_1360",9,"2018-11-26",1,"","1360",TRUE,"3",903,999,999,,0.001,1e-04,,999,999,,999,999,0.001,1e-04,,,2e+08
"09_01_1361",9,"2018-12-10",1,"","1361",TRUE,"1",901,998,12,,0.001,1e-04,,998,12,,998,12,0.001,1e-04,,,1.2e+07
"09_01_1362",9,"2018-12-10",1,"","1362",TRUE,"1",901,8,0,,0.001,1e-04,,8,0,,8,0,0.001,1e-04,,,8e+05
"09_01_1363",9,"2018-12-10",1,"","1363",TRUE,"1",901,14,3,,0.001,1e-04,,14,3,,14,3,0.001,1e-04,,,1400000
"09_01_1364",9,"2018-12-10",1,"","1364",TRUE,"1",901,1,0,,0.001,1e-04,,1,0,,1,0,0.001,1e-04,,,1e+05
"09_01_1366",9,"2018-12-14",1,"","1366",TRUE,"1",901,7,2,0,0.1,0.01,0.001,7,2,0,7,2,0.1,0.01,0,0.001,13500
"09_01_1367",9,"2018-12-14",1,"","1367",TRUE,"1",901,999,108,3,0.1,0.01,0.001,999,108,3,999,108,0.1,0.01,3,0.001,1080000
"09_01_1368",9,"2018-12-14",1,"","1368",TRUE,"1",901,999,128,0,0.01,0.001,1e-04,999,128,0,999,128,0.01,0.001,0,1e-04,12800000
"09_01_1369",9,"2018-12-14",1,"","1369",TRUE,"1",901,999,197,4,0.01,0.001,1e-04,999,197,4,999,197,0.01,0.001,4,1e-04,19700000
"09_01_1370",9,"2018-12-14",1,"","1370",TRUE,"1",901,191,82,2,0.1,0.01,0.001,191,82,2,191,82,0.1,0.01,2,0.001,505500
"09_01_1371",9,"2018-12-10",1,"","1371",TRUE,"2",902,79,4,,0.001,1e-04,,79,4,,79,4,0.001,1e-04,,,7900000
"09_01_1372",9,"2018-12-10",1,"","1372",TRUE,"2",902,24,6,,0.001,1e-04,,24,6,,24,6,0.001,1e-04,,,2400000
"09_01_1373",9,"2018-12-10",1,"","1373",TRUE,"2",902,0,7,,0.001,1e-04,,0,7,,0,7,0.001,1e-04,,,
"09_01_1374",9,"2018-12-10",1,"","1374",TRUE,"2",902,31,12,,0.001,1e-04,,31,12,,31,12,0.001,1e-04,,,7550000
"09_01_1375",9,"2018-12-10",1,"","1375",TRUE,"2",902,28,10,,0.001,1e-04,,28,10,,28,10,0.001,1e-04,,,6400000
"09_01_1376",9,"2018-12-10",1,"","1376",TRUE,"2",902,3,1,,0.001,1e-04,,3,1,,3,1,0.001,1e-04,,,650000
"09_01_1377",9,"2018-12-10",1,"","1377",TRUE,"2",902,10,0,,0.001,1e-04,,10,0,,10,0,0.001,1e-04,,,1e+06
"09_01_1378",9,"2018-12-11",1,"","1378",TRUE,"5",905,0,0,,0.001,1e-04,,0,0,,0,0,0.001,1e-04,,,50000
"09_01_1379",9,"2018-12-11",1,"","1379",TRUE,"5",905,105,32,,0.001,1e-04,,105,32,,105,32,0.001,1e-04,,,21250000
"09_01_1380",9,"2018-12-11",1,"","1380",TRUE,"5",905,0,0,,0.001,1e-04,,0,0,,0,0,0.001,1e-04,,,50000
"09_01_1381",9,"2018-12-19",1,"","1381",TRUE,"4",904,50,4,,0.001,1e-04,,50,4,,50,4,0.001,1e-04,,,5e+06
"09_01_1382",9,"2018-12-19",1,"","1382",TRUE,"4",904,27,5,,0.001,1e-04,,27,5,,27,5,0.001,1e-04,,,2700000
"09_01_1384",9,"2018-12-19",1,"","1384",TRUE,"4",904,20,0,,0.001,1e-04,,20,0,,20,0,0.001,1e-04,,,2e+06
"09_01_1385",9,"2018-12-19",1,"","1385",TRUE,"4",904,0,0,,0.001,1e-04,,0,0,,0,0,0.001,1e-04,,,50000
"09_01_1386",9,"2019-02-13",1,"","1386",TRUE,"2",902,0,22,8,0.01,0.001,1e-04,0,22,8,0,22,0.01,0.001,8,1e-04,
"09_01_1387",9,"2018-12-19",1,"","1387",TRUE,"4",904,18,7,,0.001,1e-04,,18,7,,18,7,0.001,1e-04,,,1800000
"09_01_1388",9,"2018-12-19",1,"","1388",TRUE,"4",904,31,5,,0.001,1e-04,,31,5,,31,5,0.001,1e-04,,,3100000
"09_01_1390",9,"2019-01-29",1,"","1390",TRUE,"2",902,48,0,,0.001,1e-04,,48,0,,48,0,0.001,1e-04,,,4800000
"09_01_1391",9,"2019-01-29",1,"","1391",TRUE,"4",904,0,1,,0.001,1e-04,,0,1,,0,1,0.001,1e-04,,,
"09_01_1392",9,"2018-12-19",1,"","1392",TRUE,"5",905,0,0,,0.001,1e-04,,0,0,,0,0,0.001,1e-04,,,50000
"09_01_1393",9,"2018-12-19",1,"","1393",TRUE,"5",905,13,1,,0.001,1e-04,,13,1,,13,1,0.001,1e-04,,,1300000
"09_01_1394",9,"2018-12-19",1,"","1394",TRUE,"5",905,27,0,,0.001,1e-04,,27,0,,27,0,0.001,1e-04,,,2700000
"09_01_1395",9,"2018-12-19",1,"","1395",TRUE,"5",905,0,0,,0.001,1e-04,,0,0,,0,0,0.001,1e-04,,,50000
"09_01_1396",9,"2018-12-19",1,"","1396",TRUE,"5",905,998,13,,0.001,1e-04,,998,13,,998,13,0.001,1e-04,,,1.3e+07
"09_01_1397",9,"2018-12-19",1,"","1397",TRUE,"5",905,0,0,,0.001,1e-04,,0,0,,0,0,0.001,1e-04,,,50000
"09_01_1398",9,"2018-12-19",1,"","1398",TRUE,"5",905,998,2,,0.001,1e-04,,998,2,,998,2,0.001,1e-04,,,2e+06
"09_01_1399",9,"2018-12-19",1,"","1399",TRUE,"5",905,27,5,,0.001,1e-04,,27,5,,27,5,0.001,1e-04,,,2700000
"09_01_1400",9,"2018-12-19",1,"","1400",TRUE,"5",905,4,0,,0.001,1e-04,,4,0,,4,0,0.001,1e-04,,,4e+05
"09_10_1203",9,"2018-11-30",10,"","1203",TRUE,"3",903,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,82
"09_10_1204",9,"2018-11-30",10,"","1204",TRUE,"3",903,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,176.5
"09_10_1205",9,"2018-11-30",10,"","1205",TRUE,"3",903,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,183.5
"09_10_1206",9,"2018-11-30",10,"","1206",TRUE,"3",903,0,0,,10,1,,0,0,,0,0,10,1,,,94.5
"09_10_1207",9,"2018-11-30",10,"","1207",TRUE,"3",903,0,0,0,10,1,0.1,0,0,0,0,0,10,1,0,0.1,121
"09_10_1210",9,"2018-11-30",10,"","1210",TRUE,"3",903,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,79
"09_10_1211",9,"2018-12-01",10,"","1211",TRUE,"5",905,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,91
"09_10_1212",9,"2018-12-01",10,"","1212",TRUE,"5",905,0,0,,1,10,,0,0,,0,0,10,1,,,153
"09_10_1213",9,"2018-12-01",10,"","1213",TRUE,"5",905,1,17,0,1,10,0.1,1,17,0,17,1,10,1,0,0.1,3094
"09_10_1214",9,"2018-12-01",10,"","1214",TRUE,"5",905,0,0,,1,10,,0,0,,0,0,10,1,,,153
"09_10_1215",9,"2018-12-01",10,"","1215",TRUE,"5",905,0,0,,1,10,,0,0,,0,0,10,1,,,55
"09_10_1216",9,"2019-01-05",10,"","1216",TRUE,"5",905,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,50
"09_10_1217",9,"2018-12-05",10,"","1217",TRUE,"5",905,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,99
"09_10_1218",9,"2019-01-05",10,"","1218",TRUE,"5",905,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,182.5
"09_10_1219",9,"2019-01-05",10,"","1219",TRUE,"5",905,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,86
"09_10_1220",9,"2019-01-05",10,"","1220",TRUE,"5",905,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,93
"09_10_1221",9,"2019-01-09",10,"","1221",TRUE,"2",902,85,218,0,1,10,0.1,85,218,0,218,85,10,1,0,0.1,
"09_10_1223",9,"2019-01-09",10,"","1223",TRUE,"2",902,42,0,0,1,10,0.1,42,0,0,0,42,10,1,0,0.1,
"09_10_1224",9,"2019-01-09",10,"","1224",TRUE,"2",902,0,0,,1,10,,0,0,,0,0,10,1,,,82
"09_10_1225",9,"2019-01-09",10,"","1225",TRUE,"2",902,0,26,0,1,10,0.1,0,26,0,26,0,10,1,0,0.1,8242
"09_10_1226",9,"2019-01-09",10,"","1226",TRUE,"2",902,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,137
"09_10_1227",9,"2019-01-09",10,"","1227",TRUE,"2",902,93,999,0,1,10,0.1,93,999,0,999,93,10,1,0,0.1,204600
"09_10_1228",9,"2019-01-09",10,"","1228",TRUE,"2",902,46,999,,1,10,,46,999,,999,46,10,1,,,85560
"09_10_1229",9,"2019-01-09",10,"","1229",TRUE,"2",902,6,0,0,1,10,0.1,6,0,0,0,6,10,1,0,0.1,
"09_10_1230",9,"2019-01-09",10,"","1230",TRUE,"2",902,22,50,0,1,10,0.1,22,50,0,50,22,10,1,0,0.1,35505
"09_10_1231",9,"2019-01-10",10,"","1231",TRUE,"1",901,36,10,0,1,10,0.1,36,10,0,10,36,10,1,0,0.1,54945
"09_10_1232",9,"2019-01-10",10,"","1232",TRUE,"1",901,0,57,0,1,10,0.1,0,57,0,57,0,10,1,0,0.1,11457
"09_10_1233",9,"2019-01-10",10,"","1233",TRUE,"1",901,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,34.5
"09_10_1234",9,"2019-01-10",10,"","1234",TRUE,"1",901,999,36,22,1,10,0.1,999,36,22,36,999,10,1,22,0.1,
"09_10_1235",9,"2019-01-10",10,"","1235",TRUE,"1",901,46,998,75,1,10,0.1,46,998,75,998,46,10,1,75,0.1,362180
"09_10_1236",9,"2019-01-10",10,"","1236",TRUE,"1",901,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,101
"09_10_1237",9,"2019-01-10",10,"","1237",TRUE,"1",901,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,232
"09_10_1238",9,"2019-01-10",10,"","1238",TRUE,"1",901,59,0,999,1,10,0.1,59,0,999,0,59,10,1,999,0.1,
"09_10_1239",9,"2019-01-10",10,"","1239",TRUE,"1",901,4,999,0,1,10,0.1,4,999,0,999,4,10,1,0,0.1,14000
"09_10_1240",9,"2019-01-10",10,"","1240",TRUE,"1",901,999,999,0,1,10,0.1,999,999,0,999,999,10,1,0,0.1,
"09_10_1241",9,"2019-01-11",10,"","1241",TRUE,"4",904,3,1,0,1,10,0.1,3,1,0,1,3,10,1,0,0.1,1379.5
"09_10_1242",9,"2019-01-11",10,"","1242",TRUE,"4",904,0,8,0,1,10,0.1,0,8,0,8,0,10,1,0,0.1,1320
"09_10_1243",9,"2019-01-11",10,"","1243",TRUE,"4",904,1,0,0,1,10,0.1,1,0,0,0,1,10,1,0,0.1,
"09_10_1244",9,"2019-01-11",10,"","1244",TRUE,"4",904,1,9,0,1,1,0.1,1,9,0,1,9,1,1,0,0.1,
"09_10_1245",9,"2019-01-11",10,"","1245",TRUE,"4",904,1,2,0,1,10,0.1,1,2,0,2,1,10,1,0,0.1,1704
"09_10_1246",9,"2019-01-11",10,"","1246",TRUE,"4",904,0,37,0,1,10,0.1,0,37,0,37,0,10,1,0,0.1,7104
"09_10_1247",9,"2019-01-13",10,"","1247",TRUE,"4",904,1,0,1,1,10,0.1,1,0,1,0,1,10,1,1,0.1,
"09_10_1248",9,"2019-01-13",10,"","1248",TRUE,"4",904,0,2,0,1,10,0.1,0,2,0,2,0,10,1,0,0.1,490
"09_10_1249",9,"2019-01-13",10,"","1249",TRUE,"4",904,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,80.5
"09_10_1250",9,"2019-01-13",10,"","1250",TRUE,"4",904,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,51
"09_02_1151",9,"2018-11-30",2,"","1151",TRUE,"3",903,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,25
"09_02_1152",9,"2018-11-30",2,"","1152",TRUE,"3",903,0,998,0,1,10,0.1,0,998,0,998,0,10,1,0,0.1,
"09_02_1153",9,"2018-11-30",2,"","1153",TRUE,"3",903,53,0,0,10,1,0.1,53,0,0,53,0,10,1,0,0.1,2650
"09_02_1154",9,"2018-11-30",2,"","1154",TRUE,"3",903,0,0,,1,0.1,,0,0,,0,0,1,0.1,,,250
"09_02_1155",9,"2018-11-30",2,"","1155",TRUE,"3",903,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,25
"09_02_1156",9,"2018-11-30",2,"","1156",TRUE,"3",903,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,25
"09_02_1157",9,"2018-11-30",2,"","1157",TRUE,"3",903,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,25
"09_02_1158",9,"2018-11-30",2,"","1158",TRUE,"3",903,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,25
"09_02_1159",9,"2018-11-30",2,"","1159",TRUE,"3",903,0,10,,1,0.1,,0,10,,0,10,1,0.1,,,
"09_02_1160",9,"2018-11-30",2,"","1160",TRUE,"3",903,6,0,,1,0.1,,6,0,,6,0,1,0.1,,,3000
"09_02_1161",9,"2019-01-10",2,"","1161",TRUE,"2",902,4,998,0,10,1,0.1,4,998,0,4,998,10,1,0,0.1,
"09_02_1162",9,"2019-01-10",2,"","1162",TRUE,"2",902,72,198,38,1,10,0.1,72,198,38,198,72,10,1,38,0.1,78633.3333333333
"09_02_1163",9,"2019-01-09",2,"","1163",TRUE,"2",902,0,6,0,1,10,0.1,0,6,0,6,0,10,1,0,0.1,300
"09_02_1164",9,"2019-01-09",2,"","1164",TRUE,"2",902,13,230,4,1,10,0.1,13,230,4,230,13,10,1,4,0.1,
"09_02_1165",9,"2019-01-09",2,"","1165",TRUE,"2",902,0,0,0,1,10,0.1,0,0,0,0,0,10,1,0,0.1,25
"09_02_1166",9,"2019-01-09",2,"","1166",TRUE,"2",902,37,999,32,1,10,0.1,37,999,32,999,37,10,1,32,0.1,89250
"09_02_1167",9,"2019-01-09",2,"","1167",TRUE,"2",902,3,18,0,1,10,0.1,3,18,0,18,3,10,1,0,0.1,900
"09_02_1168",9,"2019-01-10",2,"","1168",TRUE,"2",902,1,21,998,1,10,0.1,1,21,998,21,1,10,1,998,0.1,
"09_02_1169",9,"2019-01-10",2,"","1169",TRUE,"2",902,3,999,0,1,10,0.1,3,999,0,999,3,10,1,0,0.1,1500
"09_02_1170",9,"2019-01-11",2,"","1170",TRUE,"2",902,22,2,2,1,10,0.1,22,2,2,2,22,10,1,2,0.1,
"09_02_1171",9,"2019-01-11",2,"","1171",TRUE,"1",901,998,74,0,1,10,0.1,998,74,0,74,998,10,1,0,0.1,
"09_02_1172",9,"2019-01-11",2,"","1172",TRUE,"1",901,0,15,0,1,10,0.1,0,15,0,15,0,10,1,0,0.1,750
"09_02_1173",9,"2019-01-11",2,"","1173",TRUE,"1",901,25,999,0,1,10,0.1,25,999,0,999,25,10,1,0,0.1,12500
"09_02_1174",9,"2019-01-11",2,"","1174",TRUE,"1",901,39,174,2,1,10,0.1,39,174,2,174,39,10,1,2,0.1,14100
"09_02_1175",9,"2019-01-11",2,"","1175",TRUE,"1",901,32,180,0,1,10,0.1,32,180,0,180,32,10,1,0,0.1,12500
"09_02_1176",9,"2019-01-11",2,"","1176",TRUE,"1",901,80,999,23,1,10,0.1,80,999,23,999,80,10,1,23,0.1,77500
"09_02_1177",9,"2019-01-29",2,"","1177",TRUE,"1",901,0,0,0,10,1,0.1,0,0,0,0,0,10,1,0,0.1,25
"09_02_1178",9,"2019-01-11",2,"","1178",TRUE,"1",901,59,200,25,1,10,0.1,59,200,25,200,59,10,1,25,0.1,54833.3333333333
"09_02_1179",9,"2019-01-11",2,"","1179",TRUE,"1",901,21,90,0,1,10,0.1,21,90,0,90,21,10,1,0,0.1,7500
"09_02_1180",9,"2019-01-11",2,"","1180",TRUE,"1",901,7,19,3,1,10,0.1,7,19,3,19,7,10,1,3,0.1,950
"09_02_1181",9,"2019-01-13",2,"","1181",TRUE,"5",905,19,29,2,10,1,0.1,19,29,2,19,29,10,1,2,0.1,7725
"09_02_1182",9,"2019-01-13",2,"","1182",TRUE,"5",905,0,0,0,10,1,0.1,0,0,0,0,0,10,1,0,0.1,25
"09_02_1183",9,"2019-01-13",2,"","1183",TRUE,"5",905,999,186,0,10,1,0.1,999,186,0,999,186,10,1,0,0.1,93000
