"SampleID","CompoundID","ec_dd","ec_th","ev_way","ev_notes","ec_sd","ec_st","ec_isd","ec_ist","ec_ied","ec_iet","ec_dil1","ec_dil2","ec_dil3","ec_ecnt1","ec_ecnt2","ec_ecnt3","tc_ecnt1","tc_ecnt2","tc_ecnt3","ec_blank","tc_blank","collectr","sp_area","dis_com","weight","lat_other","ev_way.1","operator","col_UID"
"ACO2029",2029,"5/12/2015","10:52:00 AM","026-29","",2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",1,2,,999,83,,999,79,,0,0,"AMADEU-GIZELA",0,,,,"026,29","MARCIO AMOS","05_09_1000"
"ACO2030",2030,"3/26/2015","9:05:00 AM","014-32","",2015-03-26,"12:15:00",2015-03-26,"17:00:00",2015-03-27,"17:00:00",1,2,,0,0,,999,999,,0,0,"GISELA-ELOISA",0,,,,"014.32","MARIA","05_09_1001"
"ACO2031",2031,"3/3/2015","9:38:00 AM","002-32","",2015-03-03,"14:23:00",2015-03-03,"15:20:00",2015-03-04,"17:08:00",1,2,,0,0,,999,999,,0,0,"ANABELA/BACELAR",0,,,,"002-32","MARIO AMOS","05_09_1002"
"ACO2032",2032,"3/2/2015","9:36:00 AM","001-32","",2015-03-02,"15:05:00",2015-03-02,"16:30:00",2015-03-03,"16:42:00",1,2,,0,0,,998,999,,0,0,"GIZELA/ELOISA",0,,,,"001.32","MARIO AMOS","05_09_1003"
"ACO2034",2034,"3/5/2015","9:40:00 AM","163-31","",2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",1,2,,0,1,,999,999,,0,0,"AMADEU/BACELAR",0,,,,"163-31","LAURINDA MACUCULE","05_09_1004"
"ACO2035",2035,"3/5/2015","9:14:00 AM","004-32","",2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",1,2,,0,0,,999,999,,0,0,"ELOISA-GISELA-AMADEU",0,,,,"004.32","LAURINDA MACUCULE","05_09_1005"
"ACO2036",2036,"3/6/2015","9:48:00 AM","001-30","",2015-03-06,"12:15:00",2015-03-06,"16:50:00",2015-03-07,"17:00:00",1,2,,0,0,,67,38,,0,0,"GIZELA/ELOISA",0,,,,"001.30","MARIO AMOS","05_09_1006"
"ACO2037",2037,"3/9/2015","9:36:00 AM","164-31","Water collected within home (stored water).",2015-03-09,"00:00:00",2015-03-09,"16:03:00",2015-03-10,"16:08:00",2,3,,19,4,,999,73,,0,0,"ANABELA/BACELAR",0,,,,"164.31","SALMA XAVIER","05_09_1007"
"ACO2038",2038,"3/6/2015","9:06:00 AM","003-29","",2015-03-06,"12:15:00",2015-03-06,"16:50:00",2015-03-07,"17:00:00",1,2,,0,0,,999,999,,0,0,"BACELAR/ANABELA",0,,,,"003.29","MARIO AMOS","05_09_1008"
"ACO2039",2039,"3/9/2015","10:12:00 AM","004-30","",2015-03-09,"00:00:00",2015-03-09,"16:03:00",2015-03-10,"16:08:00",2,3,,3,0,,53,18,,0,0,"GIZELA",0,,,,"004.30","SALMA XAVIER","05_09_1009"
"ACO2040",2040,"3/10/2015","8:43:00 AM","005-29","Has developed clear colonies",2015-03-10,"14:00:00",2015-03-10,"16:20:00",2015-03-11,"16:20:00",3,4,,0,0,,999,999,,0,0,"ANABELA/BACELAR",0,,,,"005.29","MARIA ISABEL","05_09_1010"
"ACO2041",2041,"3/10/2015","9:03:00 AM","005-30","The distance of 22.6 m is regard to two latrines no longer in use. The distance from the latrine that they are using is 7.37 m",2015-03-10,"14:00:00",2015-03-10,"16:20:00",2015-03-11,"16:20:00",3,4,,0,0,,999,110,,,,"AMADEU/ELOISA",0,,,,"005.30","MARIA ISABEL","05_09_1011"
"ACO2042",2042,"3/25/2015","9:25:00 AM","022-29","",2015-03-25,"12:10:00",2015-03-25,"16:20:00",2015-03-26,"16:20:00",1,2,,134,73,,999,999,,0,0,"AMADEU/ANABELA",0,,,,"022.29","SALMA XAVIER","05_09_1012"
"ACO2043",2043,"3/25/2015","9:18:00 AM","012-32","",2015-03-25,"12:10:00",2015-03-26,"16:20:00",2015-03-27,"16:20:00",1,2,,0,0,,999,999,,0,0,"GISELA-ELOISA",0,,,,"012.32","SALMA XAVIER","05_09_1013"
"ACO2044",2044,"5/12/2015","9:35:00 AM","001-01","The referenced distance is in relation to the latrine in another backyard (used by 2 families of the compound)",2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",1,2,,0,0,,32,0,,0,0,"ELOISA -BACELAR",0,,,,"001,01","MARCIO AMOS","05_09_1014"
"ACO3001",3001,"3/11/2015","10:26:00 AM","008-29","",2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",3,4,,0,0,,0,0,,0,0,"ANABELA/AMADEU",0,,,,"008.29","LAURINDA MACUCULE","05_09_1015"
"ACO3006",3006,"3/12/2015","9:13:00 AM","010-30","",2015-03-12,"11:50:00",2015-03-12,"13:25:00",2015-03-13,"15:35:00",3,4,,75,0,,132,63,,0,0,"ELOISA-GISELA",0,,,,"010.30","MARIO AMOS","05_09_1016"
"ACO3030",3030,"3/13/2015","9:20:00 AM","014-29","",2015-03-13,"13:20:00",2015-03-13,"15:40:00",2015-03-14,"15:40:00",1,2,,0,0,,999,999,,0,0,"ANABELA/BACELAR",0,,,,"014-29","SALMA XAVIER","05_09_1017"
"ACO3031",3031,"3/11/2015","9:04:00 AM","007-30","",2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",3,4,,0,0,,0,0,,0,0,"ELOISA-GISELA",0,,,,"007.30","LAURINDA MACUVULE","05_09_1018"
"ACO3032",3032,"3/18/2015","10:39:00 AM","008-32","",2015-03-18,"13:03:00",2015-03-18,"16:20:00",2015-03-19,"16:20:00",2,1,,6,40,,10,53,,0,0,"ELOISA",0,,,,"008.32","SALMA XAVIER","05_09_1019"
"ACO3033",3033,"3/24/2015","9:12:00 AM","169-31","",2015-03-24,"12:02:00",2015-03-24,"15:50:00",2015-03-25,"15:50:00",2,1,,999,999,,999,999,,0,0,"ELOISA-GISELA",0,,,,"169.31","MARIO AMOS","05_09_1020"
"ACO3034",3034,"3/13/2015","9:31:00 AM","012-30","",2015-03-13,"13:20:00",2015-03-13,"15:40:00",2015-03-14,"15:40:00",1,2,,46,15,,170,23,,0,0,"GIZELA/ELOISA",0,,,,"012.30","SALMA XAVIER","05_09_1021"
"ACO3036",3036,"3/18/2015","11:01:00 AM","166-31","",2015-03-18,"13:03:00",2015-03-18,"16:20:00",2015-03-19,"16:20:00",1,2,,34,6,,999,999,,0,0,"BACELAR/ANABELA",0,,,,"166.31","SALMA XAVIER","05_09_1022"
"ACO3037",3037,"3/12/2015","8:30:00 AM","011-29","",2015-03-12,"11:50:00",2015-03-12,"15:25:00",2015-03-13,"15:35:00",3,4,,0,0,,55,21,,0,0,"ANABELA/BACELAR",0,,,,"011.29","MARCIO AMOS","05_09_1023"
"ACO3039",3039,"3/24/2015","8:59:00 AM","167-31","",2015-03-24,"12:02:00",2015-03-24,"15:50:00",2015-03-25,"15:50:00",1,2,,27,14,,0,0,,0,0,"AMADEU-ANABELA",0,,,,"167-31","MARIO AMOS","05_09_1024"
"CCO2029",2029,"5/12/2015","10:28:00 AM","026-29","",2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",2,3,4,999,999,999,999,999,999,0,0,"AMADEU/GIZELA",0,,,,"026-29","MARCIO AMOS","05_06_1025"
"CCO2034",2034,"3/5/2015","9:31:00 AM","166-31","Sample taken from breaking water pipes.",2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",2,3,4,0,0,0,998,999,999,0,0,"ANABELA/BACELAR",0,,,,"163.31","LAURINDA MACUCULE","05_06_1026"
"CCO2040",2040,"3/10/2015","9:11:00 AM","003-29","Sample collected from the laundry washing and dish",2015-03-10,"12:00:00",2015-03-10,"16:20:00",2015-03-11,"16:20:00",2,3,4,0,0,0,999,999,999,0,0,"ANABELA/BACELAR",0,,,,"003.29","MARIA ISABEL","05_06_1027"
"CCO3006",3006,"3/12/2015","9:18:00 AM","010-30","In dilutions 1.1000, the colonies of coliforms were extremely pallids.",2015-03-12,"11:50:00",2015-03-12,"15:25:00",2015-03-13,"15:35:00",3,4,5,999,0,0,999,999,0,0,0,"ELOISA MULA",0,,,,"010.30","MARCIO AMOS","05_06_1028"
"CCO3034",3034,"3/13/2015","9:28:00 AM","012-30","",2015-03-13,"13:20:00",2015-03-13,"15:40:00",2015-03-14,"15:40:00",2,3,4,999,0,0,999,999,113,0,0,"GIZELA/ELOISA",0,,,,"012-30","SALMA XAVIER","05_06_1029"
"CPO2032",2032,"3/3/2015","10:00:00 AM","001/29","Standing water coming from the laundry washing.",2015-03-03,"15:05:00",2015-03-03,"16:30:00",2015-03-04,"16:42:00",2,3,4,998,998,998,998,998,998,0,0,"ANABELA/BACELAR",1,1.7,,,"001.29","MARIO AMOS","05_06_1030"
"CPO2040",2040,"3/10/2015","9:30:00 AM","006-29","The water collected is from pipe break",2015-03-10,"14:00:00",2015-03-10,"16:20:00",2015-03-11,"16:20:00",2,3,4,0,0,0,999,999,999,0,0,"ANABELA/BACELAR",1,1.3,,,"006.29","MARIA ISABEL","05_06_1031"
"CPO3001",3001,"3/11/2015","10:16:00 AM","009-29","Standing water coming from pipe break",2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",3,4,2,0,0,0,0,0,0,0,0,"ANABELA/AMADEU",1,4.7,,,"009.29","LAURINDA MACUCULE","05_06_1032"
"CPO3031",3031,"3/11/2015","10:30:00 AM","009-30","",2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",3,4,2,0,0,0,998,0,0,0,0,"ELOISA -GISELA",1,1.65,,,"009.30","LAURINDA MACUCULE","05_06_1033"
"CPO3034",3034,"3/13/2015","9:35:00 AM","013-30","This stagnant water is mixed with the water that comes from the bath that oozes out of the compound.",2015-03-13,"13:20:00",2015-03-13,"15:40:00",2015-03-14,"15:40:00",2,3,4,0,0,0,999,999,73,0,0,"ELOISA/GIZELA",1,2.8,,,"013.30","SALMA XAVIER","05_06_1034"
"DCO2029",2029,"5/12/2015","10:20:00 AM","026-29","The drain is within the bathroom and beside the latrine",2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",2,3,4,0,0,0,999,999,999,0,0,"Amadeu/Gizela",0,,,,"026-29","Marcio Amos","05_01_1035"
"DCO2030",2030,"3/26/2015","9:13:00 AM","014-32","",2015-03-26,"12:15:00",2015-03-26,"17:00:00",2015-03-27,"17:00:00",2,3,4,0,0,0,998,999,999,0,0,"ELOISA-GISELA",0,,,,"014.32","MARIA","05_01_1036"
"DCO2031",2031,"3/3/2015","10:09:00 AM","002-32","",2015-03-03,"14:23:00",2015-03-03,"15:20:00",2015-03-04,"17:08:00",4,5,6,0,0,2,999,999,59,0,0,"ANABELA/BACELAR",0,,,,"002.32","MARIO AMOS","05_01_1037"
"DCO2032",2032,"3/3/2015","10:05:00 AM","001-32","Sample collected from bathroom, the drain was covered",2015-03-03,"15:05:00",2015-03-03,"16:30:00",2015-03-04,"16:42:00",4,5,6,0,0,0,75,31,48,0,0,"BACELAR/ANABELA",0,,,,"001.32","MARIO AMOS","05_01_1038"
"DCO2035",2035,"3/5/2015","9:28:00 AM","004-32","",2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",4,5,6,0,0,0,0,0,0,0,0,"GISELA/ELOISA/AMADEU",0,,,,"004.32","LAURINDA MACUCULE","05_01_1039"
"DCO2036",2036,"3/6/2015","9:52:00 AM","001-30","",2015-03-06,"12:15:00",2015-03-06,"16:50:00",2015-03-07,"17:00:00",4,5,6,0,0,0,999,999,75,0,0,"ELOISA-GISELA-AMADEU",0,,,,"001.30","MARIO AMOS","05_01_1040"
"DCO2041",2041,"3/10/2015","9:07:00 AM","005-30","29.37 m is the distance from the drain to the latrine in use and 2.94 m is in relation to the old latrine",2015-03-10,"14:00:00",2015-03-10,"16:20:00",2015-03-11,"16:20:00",4,5,6,0,0,0,999,999,999,0,0,"AMADEU/ELOISA",0,,,,"005.30","MARIA ISABEL","05_01_1041"
"DCO2042",2042,"3/25/2015","9:55:00 AM","022-29","",2015-03-25,"12:10:00",2015-03-25,"16:20:00",2015-03-26,"16:20:00",2,3,4,0,0,0,999,999,0,0,0,"AMADEU/ANABELA",0,,,,"022.29","SALMA XAVIER","05_01_1042"
"DCO2044",2044,"5/12/2015","9:50:00 AM","001-01","The latrine is in the yard outside the compound but the bathroom is inside the compound.",2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",2,3,4,999,999,999,999,999,999,0,0,"Eloisa/Bacelar",0,,,,"001-01","Marcio Amos","05_01_1043"
"DCO3001",3001,"3/11/2015","10:32:00 AM","008-29","",2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",4,5,6,0,0,0,0,0,0,0,0,"ANABELA/AMADEU",0,,,,"008.29","LAURINDA MACUCULE","05_01_1044"
"DCO3031",3031,"3/11/2015","10:10:00 AM","007-30","",2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",4,5,6,0,0,0,0,0,0,0,0,"GISELA-ELOISA",0,,,,"007.30","LAURINDA MACUCULE","05_01_1045"
"DCO3033",3033,"3/24/2015","9:15:00 AM","169-31","",2015-03-24,"12:02:00",2015-03-24,"15:50:00",2015-03-25,"15:50:00",2,3,4,999,999,999,999,999,999,0,0,"ELOISSA-GISELA",0,,,,"169.31","MARIO AMOS","05_01_1046"
"DCO3037",3037,"3/12/2015","8:55:00 AM","011-29","",2015-03-12,"11:50:00",2015-03-12,"15:25:00",2015-03-13,"15:35:00",4,5,6,999,33,9,999,999,127,0,0,"",0,,,,"011.29","MARIO AMOS","05_01_1047"
"DPO3001",3001,"3/11/2015","10:30:00 AM","010-29","Sample collected from the big drain in public road in Acordos de Lusaka Avenue",2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",4,5,6,999,0,0,999,0,0,0,0,"BACELAR/AMADEU",1,5.7,,,"010-29","LAURINDA MACUCULE","05_01_1048"
"DPO3037",3037,"3/12/2015","9:29:00 AM","013-29","sample collected from the public drainage in Acordos de Lusaka Avenue. The colonies in the 1.100 000 dilution were very pallid.",2015-03-12,"11:50:00",2015-03-12,"15:25:00",2015-03-13,"15:35:00",4,5,6,0,0,0,999,999,999,0,0,"ANABELA/BACELAR",1,7.4,,,"013.29","MARIO AMOS","05_01_1049"
"SCA2029",2029,"5/12/2015","10:41:00 AM","026-29","",2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",3,4,,0,0,,74,31,,0,0,"AMADEU/GIZELA",0,,31.47,,"026-29","MARCIO AMOS","05_08_1050"
"SCA2030",2030,"3/26/2015","9:31:00 AM","014-32","",2015-03-26,"12:15:00",2015-03-26,"17:00:00",2015-03-27,"17:00:00",2,3,4,999,999,999,999,999,999,0,0,"ELOISA-GISELA",0,,23.15,,"014.32","MARIA","05_08_1051"
"SCA2031",2031,"3/3/2015","9:21:00 AM","002-32","",2015-03-03,"16:00:00",2015-03-03,"17:08:00",2015-03-04,"17:08:00",3,4,,0,0,,999,999,,0,0,"ANABELA/BACELAR",0,,19.33,,"002-32","MARIA ISABEL","05_08_1052"
"SCA2032",2032,"3/3/2015","9:54:00 AM","001-32","The dilution 1:10 presented with a very high number of sedimentation.",2015-03-03,"15:05:00",2015-03-03,"15:30:00",2015-03-04,"15:32:00",3,4,,10,0,,999,999,,0,0,"ELAISA/GISELA",0,,32.04,,"001.32","MARIO AMOS","05_08_1053"
"SCA2034",2034,"3/5/2015","9:25:00 AM","163-31","",2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",3,4,,0,0,,998,999,,0,0,"ANABELA/BACELAR",0,,30.89,,"163.31","LAURINDA MACUCULE","05_08_1054"
"SCA2035",2035,"3/5/2015","9:23:00 AM","004-32","",2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",3,4,,0,0,,999,999,,0,0,"GISELA-ELAISA-AMADEU",0,,20.7,,"004.32","LAURINDA MACUCULE","05_08_1055"
"SCA2036",2036,"3/6/2015","10:06:00 AM","001-30","",2015-03-06,"12:15:00",2015-03-06,"16:50:00",2015-03-07,"17:00:00",3,4,,0,0,,998,999,,0,0,"ELAISA-GISELA-AMADEU",0,,24.22,,"001.30","MARIO AMOS","05_08_1056"
"SCA2037",2037,"3/9/2015","9:46:00 AM","164-31","SAMPLE TAKEN FROM RECENT AND PROVISIONAL BATHROOM.",2015-03-09,"00:00:00",2015-03-09,"16:03:00",2015-03-10,"16:08:00",3,4,,0,0,,999,37,,0,0,"ANABELA/BACELAR",0,,14.82,,"164-31","MARIO AMOS","05_08_1057"
"SCA2038",2038,"3/6/2015","9:13:00 AM","003-29","Sample collected from excavated sand for constrution of septic tank.",2015-03-06,"12:15:00",2015-03-06,"16:50:00",2015-03-07,"17:00:00",3,4,,0,0,,998,998,,0,0,"BACELAR/ANABELA",0,,21.06,,"003.29","MARIO AMOS","05_08_1058"
"SCA2039",2039,"3/9/2015","10:25:00 AM","004-30","",2015-03-09,"00:00:00",2015-03-09,"16:03:00",2015-03-10,"16:08:00",3,4,,0,0,,999,0,,0,0,"GISELA/ELAISA",0,,21.33,,"004.30","SALMA XAVIER","05_08_1059"
"SCA2040",2040,"3/10/2015","8:59:00 AM","005-29","Clear colonies developed",2015-03-10,"14:00:00",2015-03-10,"16:20:00",2015-03-11,"16:20:00",4,4,,0,0,,69,25,,0,0,"ANABELA/BACELAR",0,,13.18,,"005.29","MARIA ISABEL","05_08_1060"
"SCA2042",2042,"3/25/2015","9:32:00 AM","022-29","",2015-03-25,"12:10:00",2015-03-25,"16:20:00",2015-03-26,"16:20:00",3,4,,0,0,,999,999,,0,0,"AMADEU/ANABELA",0,,15.27,,"022.29","SALMA XAVIER","05_08_1061"
"SCA2043",2043,"3/25/2015","9:22:00 AM","012-32","",2015-03-25,"12:10:00",2015-03-25,"16:20:00",2015-03-26,"16:20:00",3,4,,999,999,,999,999,,0,0,"GISELA-ELOISA",0,,21.15,,"012.32","SALMA XAVIER","05_08_1062"
"SCA3001",3001,"3/11/2015","10:25:00 AM","008-29","",2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",3,4,5,999,999,999,998,999,999,0,0,"ANABELA/AMADEU",0,,15.63,,"008.29","LAURINDA MACUCULE","05_08_1063"
"SCA3006",3006,"3/12/2015","9:25:00 AM","010-30","",2015-03-12,"11:50:00",2015-03-12,"15:25:00",2015-03-13,"15:35:00",3,4,,999,999,,999,999,,0,0,"AMADEU",0,,23.81,,"010.30","MARIO AMOS","05_08_1064"
"SCA3030",3030,"3/13/2015","9:32:00 AM","014-29","",2015-03-13,"13:20:00",2015-03-13,"15:40:00",2015-03-14,"15:40:00",2,3,4,998,998,110,998,998,130,0,0,"ANABELA/BACELAR",0,,15.43,,"014-29","SALMA XAVIER","05_08_1065"
"SCA3031",3031,"3/11/2015","10:20:00 AM","007-30","",2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",3,4,,999,999,,999,25,,0,0,"ELAISA-GISELA",0,,15.85,,"007.30","LAURINDA MACUCULE","05_08_1066"
"SCA3032",3032,"3/18/2015","10:42:00 AM","008-32","",2015-03-18,"13:03:00",2015-03-18,"16:20:00",2015-03-19,"16:20:00",2,3,4,17,8,0,998,75,23,0,23,"ELOISA",0,,17.73,,"008.32","SALMA XAVIER","05_08_1067"
"SCA3033",3033,"3/24/2015","9:08:00 AM","169-31","",2015-03-24,"12:02:00",2015-03-24,"15:50:00",2015-03-25,"15:50:00",2,3,4,30,7,0,999,999,999,0,0,"AMADEU",0,,15.79,,"169.31","MARIO AMOS","05_08_1068"
"SCA3034",3034,"3/13/2015","9:35:00 AM","012-30","",2015-03-13,"11:56:00",2015-03-13,"15:40:00",2015-03-14,"15:40:00",2,3,4,16,8,0,999,999,999,0,0,"AMADEU",0,,25.96,,"012.30","SALMA XAVIER","05_08_1069"
"SCA3036",3036,"3/18/2015","11:12:00 AM","166-31","",2015-03-18,"13:03:00",2015-03-18,"16:20:00",2015-03-19,"16:20:00",2,3,4,0,0,0,998,999,999,0,0,"AMADEU",0,,21.52,,"166.31","SALMA XAVIER","05_08_1070"
"SCA3037",3037,"3/12/2015","8:48:00 AM","011-29","",2015-03-12,"11:50:00",2015-03-12,"15:25:00",2015-03-13,"15:35:00",3,4,,998,0,,998,30,,0,0,"ANABELA/BACELAR",0,,15.82,,"011.29","MARIO AMOS","05_08_1071"
"SCA3039",3039,"3/24/2015","8:51:00 AM","167-31","",2015-03-24,"12:02:00",2015-03-24,"15:50:00",2015-03-25,"15:50:00",2,3,4,0,0,0,999,999,999,0,999,"AMADEU/ANABELA",0,,18.34,,"167.31","MARIO AMOS","05_08_1072"
"SCB2029",2029,"5/12/2015","10:46:00 AM","026-29","",2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",3,4,,0,0,,999,97,,0,0,"AMADEU/GIZELA",0,,23.83,,"026-29","MARCIO AMOS","05_08_1073"
"SCB2030",2030,"3/26/2015","9:34:00 AM","014-32","",2015-03-26,"12:15:00",2015-03-26,"17:00:00",2015-03-27,"17:00:00",2,3,4,999,999,999,999,999,999,0,0,"ELOISA GISELA",0,,21.11,,"014.32","MARIA","05_08_1074"
